date,close
2026-01-14,6926.6
2026-01-15,6944.47
2026-01-16,6940.01
2026-01-20,6796.86
2026-01-21,6875.62
2026-01-22,6913.35
2026-01-23,6915.61
2026-01-26,6950.23
2026-01-27,6978.6
2026-01-28,6978.03
2026-01-29,6969.01
2026-01-30,6939.03
2026-02-02,6976.44
2026-02-03,6917.81
2026-02-04,6882.72
2026-02-05,6798.4
2026-02-06,6932.3
2026-02-09,6964.82
2026-02-10,6941.81
2026-02-11,6941.47
2026-02-12,6832.76
2026-02-13,6836.17
2026-02-17,6843.22
2026-02-18,6881.31
2026-02-19,6861.89
2026-02-20,6909.51
2026-02-23,6837.75
2026-02-24,6890.07
2026-02-25,6946.13
2026-02-26,6908.86
2026-02-27,6878.88
2026-03-02,6881.62
2026-03-03,6816.63
2026-03-04,6869.5
2026-03-05,6830.71
2026-03-06,6740.02
2026-03-09,6795.99
